Sublocation,Lat,Long,Lat-place2,Long-place2,Lat-place3,Long-place3,Group,Subcounty,Block,Blocknum,Treatment,,,,,
Kachibora,1.005012,35.204662,,,,,A,C,CA,1,Control,,,,,
Sitatunga,1.068131,35.083386,,,,,B,C,CB,1,Intervention,,,,,
Sinyerere,1.130022,35.138131,,,,,B,C,CB,1,Control,,,,,
Motosiet,0.987613,35.151521,,,,,B,C,CB,1,Intervention,,,,,
Cherang'any,0.983346,35.221154,,,,,B,C,CB,1,Control,,,,,
Kapsara+Makutano,1.126221,35.165381,1.25453,35.091319,,,B,C,CB,1,Intervention,,,,,
Suwerwa+Biribiet,1.057904,35.226054,1.047368,35.172845,,,C,C,CC,2,Intervention,,,,,
Geta+Milimani+Chepsiro,1.01923,35.279562,0.983753,35.28834,0.945789,35.302065,C,C,CC,2,Control,,,,,
Endebess,1.06956,34.862194,,,,,A,K,KA,3,Intervention,,,,,
Karaus,1.158463,35.088451,,,,,A,K,KA,3,Control,,,,,
Kaisagat,1.125631,35.046069,,,,,B,K,KB,4,Intervention,,,,,
Liyavo,1.077397,34.976975,,,,,B,K,KB,4,Control,,,,,
Amuka,1.102282,35.039292,,,,,C,K,KC,5,Intervention,,,,,
Kapomboi,1.17227,34.925296,,,,,C,K,KC,5,Control,,,,,
Namanjalala,1.071673,34.990733,,,,,C,K,KC,5,Control,,,,,
Kapkoi,1.224477,34.912673,,,,,C,K,KC,5,Intervention,,,,,
Kapsitwet,1.088198,34.967702,,,,,D,K,KD,6,Intervention,,,,,
Kobos,1.098151,34.932977,,,,,D,K,KD,6,Control,,,,,
Kolongolo,1.217033,34.957231,,,,,F,K,KF,7,Intervention,,,,,
Kwanza,1.164086,34.99628,,,,,F,K,KF,7,Control,,,,,
Bondeni,1.028009,34.994405,,,,,A,TW,TWA,8,Intervention,,,,,
Grassland,0.990614,34.97512,,,,,A,TW,TWA,8,Control,,,,,
Kapkoi Sisal,0.930369,35.026765,,,,,A,TW,TWA,8,Control,,,,,
Kiminini,0.88769,34.923928,,,,,A,TW,TWA,8,Intervention,,,,,
Matisi,1.038934,34.977336,,,,,A,TW,TWA,8,Intervention,,,,,
Naisambu,1.023298,35.044105,,,,,A,TW,TWA,8,Intervention,,,,,
Sikhendu,0.841908,34.834756,,,,,A,TW,TWA,8,Control,,,,,
Sirende,0.967598,35.066962,,,,,A,TW,TWA,8,Control,,,,,
Tuwan,1.034301,34.983557,,,,,B,TW,TWB,9,Control,,,,,
Milimani,1.014304,34.997251,,,,,B,TW,TWB,9,Intervention,,,,,
Bidii,1.047824,35.013589,,,,,C,TW,TWC,10,Control,,,,,
Kipsongo,1.019367,35.002336,,,,,C,TW,TWC,10,Intervention,,,,,
Rafiki,0.998445,34.948884,,,,,C,TW,TWC,10,Control,,,,,
Kinyoro,0.985187,34.888927,,,,,C,TW,TWC,10,Intervention,,,,,
Saboti,0.938946,34.843869,,,,,D,TW,TWD,11,Control,,,,,
Machewa +Nabiswa,0.89102,34.818614,0.913242,34.91103,,,D,TW,TWD,11,Intervention,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
